layout,gset,dset,pmethod,n_process,time
2,4,8,1,32,5.96
2,4,8,1,64,4.49
2,4,8,1,128,3.42
2,4,8,0,1,130.59
2,4,8,0,2,62.39
2,4,8,0,4,32.12
2,4,8,0,8,17.24
2,4,8,0,16,9.94
2,4,8,0,32,6.69
2,4,8,0,64,4.52
2,4,8,0,128,3.68
2,4,16,1,1,129.08
2,4,16,1,2,61.52
2,4,16,1,4,31.61
2,4,16,1,8,16.86
2,4,16,1,16,9.34
2,4,16,1,32,6.06
2,4,16,1,64,3.85
2,4,16,1,128,3.1
2,4,16,0,1,135.79
2,4,16,0,2,65.38
2,4,16,0,4,33.66
2,4,16,0,8,18.31
2,4,16,0,16,11.28
2,4,16,0,32,8.32
2,4,16,0,64,10.8
2,4,16,0,128,4.54
2,4,32,1,1,131.33
2,4,32,1,2,63.46
2,4,32,1,4,32.5
2,4,32,1,8,17.47
2,4,32,1,16,9.97
2,4,32,1,32,6.57
2,4,32,1,64,4.06
2,4,32,1,128,2.94
2,4,32,0,1,145.06
2,4,32,0,2,70.26
2,4,32,0,4,36.38
2,4,32,0,8,20.76
2,4,32,0,16,14.23
2,4,32,0,32,11.49
2,4,32,0,64,8.17
2,4,32,0,128,6.69
2,8,8,1,1,127.14
2,8,8,1,2,60.86
2,8,8,1,4,31.39
2,8,8,1,8,16.88
2,8,8,1,16,9.21
2,8,8,1,32,5.79
2,8,8,1,64,3.85
2,8,8,1,128,3.03
2,8,8,0,1,135.28
2,8,8,0,2,64.8
2,8,8,0,4,33.24
2,8,8,0,8,18.2
2,8,8,0,16,11.13
2,8,8,0,32,8.37
2,8,8,0,64,5.8
2,8,8,0,128,4.53
2,8,16,1,1,128.75
2,8,16,1,2,61.58
2,8,16,1,4,31.57
2,8,16,1,8,16.94
2,8,16,1,16,9.56
2,8,16,1,32,5.9
2,8,16,1,64,3.9
2,8,16,1,128,2.93
2,8,16,0,1,142.64
2,8,16,0,2,68.71
2,8,16,0,4,35.84
2,8,16,0,8,20.26
2,8,16,0,16,13.59
2,8,16,0,32,10.93
2,8,16,0,64,7.85
2,8,16,0,128,6.76
2,8,32,1,1,131.32
2,8,32,1,2,63.43
2,8,32,1,4,32.8
2,8,32,1,8,17.41
2,8,32,1,16,9.96
2,8,32,1,32,6.77
2,8,32,1,64,3.6
2,8,32,1,128,3.05
2,8,32,0,1,154.33
2,8,32,0,2,77.57
2,8,32,0,4,40.9
2,8,32,0,8,24.51
2,8,32,0,16,19.2
2,8,32,0,32,17.58
2,8,32,0,64,12.57
2,8,32,0,128,11.06
2,16,8,1,1,127.03
2,16,8,1,2,60.93
2,16,8,1,4,32.34
2,16,8,1,8,16.68
2,16,8,1,16,9.18
2,16,8,1,32,5.91
2,16,8,1,64,3.72
2,16,8,1,128,3.09
2,16,8,0,1,140.9
2,16,8,0,2,68.83
2,16,8,0,4,35.02
2,16,8,0,8,19.95
2,16,8,0,16,13.36
2,16,8,0,32,10.59
2,16,8,0,64,7.83
2,16,8,0,128,6.61
2,16,16,1,1,130.56
2,16,16,1,2,62.33
2,16,16,1,4,31.44
2,16,16,1,8,16.88
2,16,16,1,16,9.26
2,16,16,1,32,5.63
2,16,16,1,64,3.69
2,16,16,1,128,3.28
2,16,16,0,1,152.49
2,16,16,0,2,75.74
2,16,16,0,4,39.57
2,16,16,0,8,23.85
2,16,16,0,16,18.77
2,16,16,0,32,15.86
2,16,16,0,64,12.73
